country,type,paid,needs_registration,governmental,agency,url,notes
Uruguay,Gazette,f,f,t,Diario Oficial de Uruguay,http://www.impo.com.uy/,
Uruguay,Business Registry,f,f,t,Agencia de Compras y Contrataciones del Estado,https://www.comprasestatales.gub.uy/rupe/clientes/publicos/BusquedaPublicaDeProveedoresCliente.jsf,Registro Único de Proveedores. Búsqueda online por número de identificación o denominación social (actividad-sector).
Uruguay,Business Registry,f,f,t,General Directorate of Registries,http://www.dgr.gub.uy/,No online search is avalable but information could be obtained at request
Venezuela,Intellectual Property,f,f,t,Autonomous Service of Intellectual Property (SAPI)  Ministry of Popular Power for Trade,http://www.sapi.gob.ve/,
Venezuela,Business Registry,f,f,f,Caracas Stock Change,http://www.caracasstock.com/esp/index.jsp,
Venezuela,Business Registry,f,f,f,Bolsa Pública de Valores Bicentenaria,http://www.bpvb.gob.ve/,
Venezuela,Court Registry,f,f,t,Servicio Autónomo de Registros y Notarías,http://www.saren.gob.ve/index.php/login/precalculo-de-tramites/registros-mercantiles,No está habilitada la búsqueda.
Venezuela,Gazette,f,f,t,Gaceta Oficial,http://www.pgr.gob.ve/index.php?option=com_content&Itemid=4&numero=30,Daily official gazete. Available: download.
Venezuela,Business Registry,f,t,t,National Procurement Service,http://rncenlinea.snc.gob.ve/reportes/consulta_publica?p=1,Available: a directory of government procurements
Venezuela,Business Registry,f,f,t,Directory of Exporters,http://www.venexport.com/index2-es.html,Available: a directory of exporting companies
,Business Registry,f,f,f,Registro Nacional,http://registronacional.com/,"Original documents and company filings are not available, but it is a good resource for the institutions that might have different kinds of information in Latin America (cars, realestate, businesses etc.)"
